"","sitelist","optionlist","M","intercept","Mor_cov"
"1","butler","cage",-0.00379540830644602,1.28925786972597,1.51115783509009e-05
"2","butler","con",-0.0153010326512281,1.06667237090706,4.45031976789395e-05
"3","guana","cage",-0.00576659088395858,1.17082806716234,2.23886152053096e-05
"4","guana","con",-0.014715461452416,1.18507793372235,3.13371771509144e-05
"5","matanzas","cage",-0.0173485367262991,1.17626540866013,4.82629565604192e-05
"6","matanzas","con",-0.0137729215723363,1.14979543175961,5.28828031997301e-05
"7","pellicer","cage",-0.00988240693366703,1.10033782224614,3.16351950797213e-05
"8","pellicer","con",-0.0115216081782743,1.13957621750009,4.11773075743732e-05
"9","salt","cage",-0.0115022335013111,1.05591941912874,3.51038818964337e-05
"10","salt","con",-0.0119941593757661,1.06212947606298,2.72997323323796e-05
"11","staug","cage",-0.00521035729186757,1.24717569178196,1.06161208544264e-05
"12","staug","con",-0.00839131832333424,1.25517516097532,1.27559701377837e-05
"13","tolomato","cage",-0.0089658247756255,0.984459580845384,3.51676034572926e-05
"14","tolomato","con",-0.00585324480931299,1.04525875528665,3.87258285794186e-05
